LED1;LED2;LED3;LED4;LED5;LED6;LED7;LED8;LED9;LED10;LED11;LED12;LED13;cone_type
-0,00380142;0,0643054;-1,35E-02;-0,103375;0,030116;0,0347929;0,06072;0,0478684;0,108138;0,454273;0,884203;0,98382;1;U
-0,034534;-0,0638449;0,0977395;-0,0408309;-0,0386477;-0,00747003;-0,0825249;0,0616532;0,286975;0,91432;1;0,952091;0,994824;U
0,0840486;0,163128;0,159717;0,309164;0,257282;0,111303;0,138119;0,189182;0,153559;0,00246373;0,288838;0,957666;1;U
0,121054;0,0892886;0,0979137;0,0550804;0,0567942;0,140372;0,112945;0,100904;0,117687;-0,0409614;0,499502;0,934869;1;U
0,208016;0,237349;0,22301;0,281706;0,254627;0,212474;0,201398;0,18311;0,150506;0,424268;0,778954;0,94117;1;U
-0,508034;-0,488172;-0,376166;-0,33339;-0,14599;-0,0576586;-0,129971;0,00388782;-0,0414213;0,594482;0,952532;1;0,994005;U
-0,0827092;-0,051296;-0,0145375;0,0720713;0,00861156;0,0919042;0,212801;0,156842;0,289032;0,79996;0,968415;0,999004;1;U
0,0971771;0,0164597;0,0331023;-0,0533348;0,0722926;-0,0768749;-0,0179801;0,0360324;0,086009;-0,0584338;0,508425;0,965849;1;U
-0,220517;-0,204656;-0,0899951;-0,10668;-0,193288;-0,174113;-0,12705;-0,115635;0,119682;0,381017;0,917053;0,95531;1;U
-0,0613271;-0,174124;-0,0523457;-0,281079;-0,114696;0,0019124;-0,0443762;-0,00636201;0,060327;0,52675;0,952753;0,994923;1;U
0,136566;0,102654;0,128082;0,174751;0,116335;0,114215;0,0377649;0,112073;0,0453696;0,228248;0,714954;0,966444;1;U
0,0240584;0,164622;0,199941;0,237318;0,102035;0,146168;0,253993;0,268173;0,340006;0,632398;0,902692;0,95528;0,971206;U
-0,0261913;-0,110781;-0,0895218;-0,132859;-0,24789;-0,0657518;-0,076612;-0,250588;0,00177536;0,55904;0,867161;1;0,953276;U
0,168082;0,120994;0,420355;0,196668;0,378245;0,353327;0,338398;0,360787;0,350219;0,690582;0,910842;0,952851;1;U
0,0538245;0,0255631;0,0687415;0,0216975;0,0206415;-0,0258677;-0,00624489;-0,12598;0,0305558;-0,063568;0,165165;0,972854;1;U
-0,198771;-0,0614578;-0,264367;-0,157975;-0,193003;-0,0791224;-0,0791123;-0,133354;0,215874;0,641246;0,862885;0,907525;0,925082;U
-0,226063;-0,271158;-0,0338695;-0,0580357;-0,140517;-0,103567;-0,13141;-0,0853619;0,0654335;0,608734;0,945965;0,968446;1;U
0,129782;0,101502;0,103291;0,0323086;0,111792;0,137809;0,104083;0,0381497;0,15205;0,0961271;0,120418;1;0,991819;U
0,00380445;0,246916;-0,0322537;0,142881;-0,00418098;0,213057;0,158128;0,175068;0,288511;0,656219;0,933049;1;0,941013;U
-0,123864;-0,24645;-0,230558;-0,25116;-0,317069;-0,255393;-0,268935;-0,099142;-0,124228;0,391843;0,922496;0,972172;1;U
-0,21447;-0,0249877;-0,0695877;-0,190887;-0,157212;-0,211586;-0,0148592;0,0518267;0,111139;0,71979;0,839674;1;0,943868;U
-0,140661;-0,260101;-0,0246274;0,0290315;-0,0164895;0,0893659;-0,0331439;0,160493;0,15018;0,710414;0,938735;1;0,981614;U
0,0852572;0,0493192;-0,00452247;-0,110034;0,125907;0,0416988;0,17186;0,116151;0,32996;0,868202;0,969978;0,998351;1;U
-0,120025;-0,0456218;-0,0304672;-0,27597;0,0375122;-0,241077;-0,156083;0,0907864;0,0934391;0,914735;1;0,964261;0,879939;U
0,103167;0,339081;0,0480676;0,0817147;0,00638966;0,0163598;0,276751;0,216586;0,176319;0,725179;0,994309;1;0,99431;U
-0,014513;-0,164766;-0,0181438;-0,0385954;0,0976157;-0,0228799;-0,0410055;0,085927;-0,1062;0,773329;0,86126;0,892582;1;U
0,207319;-0,1173;0,0717782;0,108564;0,103322;0,138889;0,154232;0,0849146;0,10923;0,636962;0,895169;0,916074;1;U
-0,247852;-0,533161;-0,289378;-0,244018;-0,216567;-0,141739;-0,185393;0,0278493;0,183424;0,967677;0,766985;0,799263;1;U
-0,0943683;-0,169349;-0,233183;-0,14295;-0,135525;-0,031168;0,0541752;-0,0823791;0,0812453;0,855495;0,999598;0,968487;1;U
0,0900719;0,161944;0,160358;0,0402028;-0,118903;0,177092;0,172941;0,226117;0,175192;0,251236;0,741618;0,938074;1;U
0,241537;0,168164;0,273022;0,0840381;0,142715;0,0870571;0,12283;0,133675;0,189091;0,173471;0,731814;1;0,977639;U
-0,262902;-0,405644;0,00142771;-0,169139;-0,0343668;0,0574198;-0,210815;-0,388883;0,0377947;0,557829;0,949011;1;0,98976;U
0,00240692;-0,0439431;-0,0807625;0,168238;0,101015;0,120344;0,157514;0,180173;0,260208;0,892113;0,953795;0,93325;1;U
0,313989;0,285939;0,333129;0,269769;0,186721;0,229088;0,0779028;0,173441;0,10908;0,263257;0,877918;0,814278;1;U
-0,13884;-0,146021;-0,15464;-0,376897;-0,204598;-0,595379;-0,279046;-0,389413;-0,177751;0,448139;0,947011;1;0,991287;U
0,243729;0,179618;0,337051;0,249681;0,295706;0,332637;0,192245;0,2142;0,243914;0,403648;0,844086;0,898507;1;U
-0,0787392;-0,2106;-0,0914627;-0,0674229;-0,0987214;-0,0471118;0,037893;0,144506;0,16894;0,770476;0,920784;1;0,901514;U
0,353623;0,362337;0,424926;0,454656;0,357218;0,255403;0,397149;0,191092;0,264803;0,634005;0,870799;1;0,883662;U
-0,0503968;-0,435227;-0,233927;-0,256096;-0,149384;-0,298795;-0,20338;-0,124582;0,0564163;0,91313;0,94615;0,91921;0,98804;U
-0,173858;0,0109075;-0,101282;-0,237841;0,410812;0,244337;0,366454;0,267659;0,296019;0,696264;1;0,79113;0,874119;U
0,0813968;0,0660609;0,210726;0,0599434;-0,000519568;0,098388;0,00754014;-0,0131968;0,0920163;-0,0533018;0,217887;0,89663;1;U
